Session,Class_Label,Location,Band,Grand_ERD,SD_betweenSubs,N_subjects
E,Left_Hand,C6,mu,-6.981465092592593,21.668583530799594,9
E,Left_Hand,CP1,beta,-9.260984359567901,14.456898936150889,9
E,Left_Hand,CP1,mu,-9.366534518518518,28.84930702379714,9
E,Left_Hand,CP2,beta,-9.692030682098766,14.192020361920836,9
E,Left_Hand,CP2,mu,-9.592706205246913,23.493872627194136,9
E,Left_Hand,CP3,beta,-7.345959118827161,12.305507873280652,9
E,Left_Hand,CP3,mu,-6.479314098765433,27.628898537181055,9
E,Left_Hand,CP4,beta,-8.41833497376543,12.317698440734837,9
E,Left_Hand,CP4,mu,-7.09411538425926,23.045907112873532,9
E,Left_Hand,CPz,beta,-9.367870989197531,14.548490400739214,9
E,Left_Hand,CPz,mu,-9.184733206790124,26.83876535054688,9
E,Left_Hand,Ch23,beta,-1.5949252376543208,20.993131150644636,9
E,Left_Hand,Ch23,mu,-15.315273742283951,36.332455335178985,9
E,Left_Hand,Ch24,beta,-9.1660996404321,22.147842879903394,9
E,Left_Hand,Ch24,mu,-18.181799819444443,37.89969053901911,9
E,Left_Hand,Ch25,beta,-10.164967544753086,23.61262959702651,9
E,Left_Hand,Ch25,mu,-15.615275695987656,29.397268070980473,9
E,Left_Hand,Cz,beta,-8.244147800925926,13.338911905566581,9
E,Left_Hand,Cz,mu,-11.820583527777776,28.357195472814688,9
E,Left_Hand,FC1,beta,-5.301157023148148,10.796387546112038,9
E,Left_Hand,FC1,mu,-13.56324274228395,28.106036772669377,9
E,Left_Hand,FC2,beta,-6.2568125694444445,10.991730220026124,9
E,Left_Hand,FC2,mu,-13.047071770061727,23.519768284855285,9
E,Left_Hand,FC3,beta,-4.347210711419753,9.044353219344316,9
E,Left_Hand,FC3,mu,-14.670637356481478,29.076471508097438,9
E,Left_Hand,FC4,beta,-5.578938398148147,9.931383084985637,9
E,Left_Hand,FC4,mu,-11.874255535493829,21.41278237954499,9
E,Left_Hand,FCz,beta,-5.5289793703703705,11.517810725550063,9
E,Left_Hand,FCz,mu,-13.88693686111111,24.503943002626354,9
E,Left_Hand,Fz,beta,-3.428411518518519,8.914431436299413,9
E,Left_Hand,Fz,mu,-15.904447438271605,22.796089639890358,9
E,Left_Hand,P1,beta,-10.335191405864197,15.052821616242003,9
E,Left_Hand,P1,mu,-8.192356841049381,25.053063009768614,9
E,Left_Hand,P2,beta,-11.067493972222222,15.557044655297966,9
E,Left_Hand,P2,mu,-8.217947421296296,24.448245544569474,9
E,Left_Hand,POz,beta,-10.374745688271604,16.006313333387958,9
E,Left_Hand,POz,mu,-6.0837165833333335,25.16312311556523,9
E,Left_Hand,Pz,beta,-9.695730583333335,15.163288683133366,9
E,Left_Hand,Pz,mu,-6.720103828703705,23.563521449955484,9
E,Right_Hand,C1,beta,-8.9909366404321,13.943482202313522,9
E,Right_Hand,C1,mu,-13.746894154320987,26.913094380622248,9
E,Right_Hand,C2,beta,-7.498498699074074,13.437287840732317,9
E,Right_Hand,C2,mu,-10.018885496913583,26.695414347073815,9
E,Right_Hand,C3,beta,-6.709867276234569,11.40377325446089,9
E,Right_Hand,C3,mu,-10.67529375154321,26.84720429070699,9
E,Right_Hand,C4,beta,-4.580891408950618,12.135769554713388,9
E,Right_Hand,C4,mu,-4.086583873456791,23.970812333551343,9
E,Right_Hand,C5,beta,-7.012082557098766,10.516851102150722,9
E,Right_Hand,C5,mu,-15.617167641975309,23.758604632090325,9
E,Right_Hand,C6,beta,-7.530986168209877,10.70426617619796,9
E,Right_Hand,C6,mu,-6.661567719135802,21.56067627955372,9
E,Right_Hand,CP1,beta,-10.732836205246914,15.40695689992749,9
E,Right_Hand,CP1,mu,-10.386024444444445,25.900189623093834,9
E,Right_Hand,CP2,beta,-9.787847529320988,14.823487321250708,9
E,Right_Hand,CP2,mu,-7.620108023148148,25.42893221896673,9
E,Right_Hand,CP3,beta,-9.227779013888888,13.023380878167075,9
E,Right_Hand,CP3,mu,-11.985387516975305,22.75607259269233,9
E,Right_Hand,CP4,beta,-8.444179322530864,13.512583224557481,9
E,Right_Hand,CP4,mu,-3.9621944135802467,26.094602055335667,9
E,Right_Hand,CPz,beta,-9.665365330246914,16.10453907093644,9
E,Right_Hand,CPz,mu,-7.2481774043209874,26.901801504222238,9
E,Right_Hand,Ch23,beta,-15.267134348765433,18.68930386721661,9
E,Right_Hand,Ch23,mu,-30.584446057098763,19.660058060243234,9
E,Right_Hand,Ch24,beta,-10.363853430555555,16.481312511460057,9
E,Right_Hand,Ch24,mu,-26.38474661728395,29.581773061686494,9
E,Right_Hand,Ch25,beta,-5.256986936728395,13.075970083764675,9
E,Right_Hand,Ch25,mu,-20.846012447530864,16.701968399348186,9
E,Right_Hand,Cz,beta,-8.760203146604939,15.557198663942131,9
E,Right_Hand,Cz,mu,-12.947631740740741,27.81715410143269,9
E,Right_Hand,FC1,beta,-6.298303697530864,12.054623209106552,9
E,Right_Hand,FC1,mu,-16.519230043209873,25.731366087654273,9
E,Right_Hand,FC2,beta,-6.228451854938272,12.14303705607212,9
E,Right_Hand,FC2,mu,-14.849198953703702,27.328480277072455,9
E,Right_Hand,FC3,beta,-5.3890817901234565,10.225342180717586,9
E,Right_Hand,FC3,mu,-17.73289638117284,23.810680957449442,9
E,Right_Hand,FC4,beta,-6.129952442901234,11.539966995912339,9
E,Right_Hand,FC4,mu,-14.576746720679013,24.063387995506087,9
E,Right_Hand,FCz,beta,-5.847924188271604,12.561858510476902,9
E,Right_Hand,FCz,mu,-16.38565736882716,26.32597311207793,9
E,Right_Hand,Fz,beta,-5.063005655864197,11.272876177293506,9
E,Right_Hand,Fz,mu,-16.959982746913578,27.283535283073373,9
E,Right_Hand,P1,beta,-12.869258995370371,16.7306031848222,9
E,Right_Hand,P1,mu,-10.989014195987655,21.84059125925993,9
E,Right_Hand,P2,beta,-13.046899117283951,16.40426323587748,9
E,Right_Hand,P2,mu,-4.775104790123457,28.267710442562905,9
E,Right_Hand,POz,beta,-12.943814185185186,17.041672227130036,9
E,Right_Hand,POz,mu,-4.33635761728395,30.127226557939892,9
E,Right_Hand,Pz,beta,-11.200756813271605,16.645718433051353,9
E,Right_Hand,Pz,mu,-5.235334299382716,26.58025347635791,9
E,Tongue,C1,beta,-8.907195959876542,9.770963304890765,9
E,Tongue,C1,mu,-8.717179788580246,33.272851713617335,9
E,Tongue,C2,beta,-9.014107456790123,9.904025237855162,9
E,Tongue,C2,mu,-7.079230729938271,26.896605356508786,9
E,Tongue,C3,beta,-4.5731494259259255,8.274174821748916,9
E,Tongue,C3,mu,-3.013511648148149,35.07765750410142,9
E,Tongue,C4,beta,-5.571979765432099,8.60547902675643,9
E,Tongue,C4,mu,-1.0772293364197527,23.305441575470088,9
E,Tongue,C5,beta,-7.473524459876543,8.130602755855326,9
E,Tongue,C5,mu,-12.852892665123457,28.461732199058897,9
E,Tongue,C6,beta,-7.967279737654321,8.4519786135538,9
E,Tongue,C6,mu,-3.833188856481481,23.432668497840233,9
E,Tongue,CP1,beta,-10.938560967592592,13.437132932317137,9
E,Tongue,CP1,mu,-5.601615367283953,33.17172808112298,9
E,Tongue,CP2,beta,-11.570368592592592,12.750455311789775,9
E,Tongue,CP2,mu,-4.323709828703702,26.91450898470277,9
E,Tongue,CP3,beta,-7.507274651234568,14.639650035425506,9
E,Tongue,CP3,mu,-3.117718504629631,32.05009585572684,9
E,Tongue,CP4,beta,-9.091948658950619,12.191542173339393,9
E,Tongue,CP4,mu,-0.8658829645061724,25.248474741379287,9
E,Tongue,CPz,beta,-12.111440663580247,13.988435083300981,9
E,Tongue,CPz,mu,-3.982123060185185,32.20679549382004,9
E,Tongue,Ch23,beta,-11.661976569444445,11.300929833493448,9
E,Tongue,Ch23,mu,-30.060386456790123,20.865121405459757,9
E,Tongue,Ch24,beta,-2.186308652777778,10.532223252277078,9
E,Tongue,Ch24,mu,-10.140230438271606,46.19188867841582,9
E,Tongue,Ch25,beta,-11.356877407407406,10.929073273817405,9
E,Tongue,Ch25,mu,-21.367620992283953,19.67684441811966,9
E,Tongue,Cz,beta,-10.463714266975309,12.012896728888295,9
E,Tongue,Cz,mu,-8.666946993827159,31.305016697533116,9
E,Tongue,FC1,beta,-6.100806186728395,6.920710897447056,9
E,Tongue,FC1,mu,-11.856453308641978,32.70515848927308,9
E,Tongue,FC2,beta,-6.481929711419753,7.660650659076725,9
E,Tongue,FC2,mu,-10.566791148148148,29.42078728736554,9
E,Tongue,FC3,beta,-4.701579095679013,4.90465733157751,9
E,Tongue,FC3,mu,-11.550091987654323,32.31889590942683,9
E,Tongue,FC4,beta,-6.267484550925927,7.006557389837489,9
E,Tongue,FC4,mu,-10.85852240123457,25.098651392771476,9
E,Tongue,FCz,beta,-6.415851986111112,7.804322025864789,9
E,Tongue,FCz,mu,-11.9320465,30.88281544943549,9
E,Tongue,Fz,beta,-4.017798641975309,5.478432690957097,9
E,Tongue,Fz,mu,-13.059551702160492,30.85834038601299,9
E,Tongue,P1,beta,-13.551691915123456,15.356853304596164,9
E,Tongue,P1,mu,-5.188370845679014,29.86964982526185,9
E,Tongue,P2,beta,-14.726179265432098,16.220821882506925,9
E,Tongue,P2,mu,-3.107387790123457,30.649001205335125,9
E,Tongue,POz,beta,-14.391814296296298,16.632928064913784,9
E,Tongue,POz,mu,-0.19272661419752998,30.067524461561746,9
E,Tongue,Pz,beta,-13.296811274691358,15.820115650861958,9
E,Tongue,Pz,mu,-0.37645163580246865,32.394559243296186,9
